wl,k
11.547,0.103
11.574,0.110
11.601,0.118
11.628,0.126
11.655,0.134
11.682,0.144
11.710,0.153
11.737,0.164
11.765,0.175
11.792,0.186
11.820,0.198
11.848,0.209
11.876,0.221
11.905,0.233
11.933,0.245
11.962,0.256
11.990,0.266
12.019,0.276
12.048,0.286
12.077,0.294
12.107,0.301
12.136,0.308
12.165,0.313
12.195,0.317
12.225,0.319
12.255,0.321
12.285,0.321
12.315,0.320
12.346,0.317
12.376,0.314
12.407,0.310
12.438,0.304
12.469,0.298
12.500,0.291
12.531,0.283
12.563,0.274
12.594,0.265
12.626,0.256
12.658,0.247
12.690,0.237
12.723,0.227
12.755,0.217
12.788,0.208
12.821,0.198
12.853,0.189
12.887,0.180
12.920,0.172
12.953,0.163
12.987,0.156
13.021,0.149
13.055,0.142
13.089,0.136
13.123,0.131
13.158,0.126
13.193,0.121
13.228,0.117
13.263,0.114
13.298,0.110
13.333,0.108
13.369,0.106
13.405,0.104
13.441,0.102
13.477,0.101
13.514,0.100
13.550,0.099
13.587,0.099
13.624,0.099
13.661,0.099
13.699,0.099
13.736,0.099
13.774,0.099
13.812,0.100
13.850,0.100
13.889,0.101
13.928,0.101
13.966,0.102
14.006,0.103
14.045,0.104
14.085,0.104
14.124,0.105
14.164,0.106
14.205,0.107
14.245,0.108
14.286,0.108
14.327,0.109
14.368,0.110
14.409,0.111
14.451,0.112
14.493,0.113
14.535,0.114
14.577,0.115
14.620,0.116
14.663,0.116
14.706,0.117
14.749,0.118
14.793,0.119
14.837,0.120
14.881,0.121
14.925,0.122
14.970,0.123
15.015,0.124
15.060,0.125
15.106,0.126
15.152,0.127
15.198,0.128
15.244,0.129
15.291,0.130
15.337,0.131
15.385,0.132
15.432,0.133
15.480,0.134
15.528,0.136
15.576,0.137
15.625,0.138
15.674,0.139
15.723,0.140
15.773,0.141
15.823,0.142
15.873,0.143
15.924,0.145
15.974,0.146
16.026,0.147
16.077,0.148
16.129,0.149
16.181,0.151
16.234,0.152
16.287,0.153
16.340,0.155
16.393,0.156
16.447,0.157
16.502,0.159
16.556,0.160
16.611,0.161
16.667,0.163
16.722,0.164
16.779,0.166
16.835,0.167
16.892,0.169
16.949,0.170
17.007,0.172
17.065,0.173
17.123,0.175
17.182,0.177
17.241,0.178
17.301,0.180
17.361,0.182
17.422,0.184
17.483,0.185
17.544,0.187
17.606,0.189
17.668,0.191
17.730,0.193
17.794,0.195
17.857,0.197
17.921,0.200
17.986,0.202
18.051,0.204
18.116,0.207
18.182,0.209
18.248,0.212
18.315,0.215
18.382,0.217
18.450,0.220
18.519,0.224
18.587,0.227
18.657,0.230
18.727,0.234
18.797,0.238
18.868,0.242
18.939,0.246
19.011,0.251
19.084,0.257
19.157,0.262
19.231,0.269
19.305,0.276
19.380,0.285
19.455,0.295
19.531,0.306
19.608,0.319
19.685,0.335
19.763,0.354
19.841,0.377
19.920,0.405
20.000,0.439
20.080,0.478
20.161,0.525
20.243,0.579
20.325,0.639
20.408,0.704
20.492,0.773
20.576,0.844
20.661,0.916
20.747,0.987
20.833,1.057
20.921,1.124
21.008,1.189
21.097,1.250
21.186,1.308
21.277,1.360
21.368,1.408
21.459,1.451
21.552,1.487
21.645,1.517
21.739,1.541
21.834,1.558
21.930,1.568
22.026,1.570
22.124,1.566
22.222,1.554
22.321,1.536
22.422,1.511
22.523,1.479
22.624,1.442
22.727,1.399
22.831,1.351
22.936,1.299
23.041,1.243
23.148,1.184
23.256,1.123
23.364,1.061
23.474,0.998
23.585,0.934
23.697,0.872
23.810,0.810
23.923,0.751
24.038,0.694
24.155,0.640
24.272,0.589
24.390,0.541
24.510,0.498
24.631,0.458
24.752,0.422
24.876,0.390
25.000,0.362
