wl,n
5.714,1.235
5.721,1.235
5.727,1.234
5.734,1.234
5.741,1.233
5.747,1.233
5.754,1.232
5.760,1.231
5.767,1.231
5.774,1.230
5.780,1.230
5.787,1.229
5.794,1.229
5.800,1.228
5.807,1.228
5.814,1.227
5.821,1.227
5.828,1.226
5.834,1.226
5.841,1.225
5.848,1.224
5.855,1.224
5.862,1.223
5.869,1.223
5.875,1.222
5.882,1.221
5.889,1.221
5.896,1.220
5.903,1.220
5.910,1.219
5.917,1.219
5.924,1.218
5.931,1.217
5.938,1.217
5.945,1.216
5.952,1.215
5.959,1.215
5.967,1.214
5.974,1.214
5.981,1.213
5.988,1.212
5.995,1.212
6.002,1.211
6.010,1.210
6.017,1.210
6.024,1.209
6.031,1.208
6.039,1.208
6.046,1.207
6.053,1.206
6.061,1.206
6.068,1.205
6.075,1.204
6.083,1.203
6.090,1.203
6.098,1.202
6.105,1.201
6.112,1.201
6.120,1.200
6.127,1.199
6.135,1.198
6.143,1.198
6.150,1.197
6.158,1.196
6.165,1.195
6.173,1.195
6.180,1.194
6.188,1.193
6.196,1.192
6.203,1.191
6.211,1.191
6.219,1.190
6.227,1.189
6.234,1.188
6.242,1.187
6.250,1.187
6.258,1.186
6.266,1.185
6.274,1.184
6.281,1.183
6.289,1.182
6.297,1.181
6.305,1.181
6.313,1.180
6.321,1.179
6.329,1.178
6.337,1.177
6.345,1.176
6.353,1.175
6.361,1.174
6.369,1.173
6.378,1.172
6.386,1.171
6.394,1.170
6.402,1.169
6.410,1.168
6.418,1.167
6.427,1.166
6.435,1.165
6.443,1.164
6.452,1.163
6.460,1.162
6.468,1.161
6.477,1.160
6.485,1.159
6.494,1.158
6.502,1.157
6.510,1.156
6.519,1.155
6.527,1.154
6.536,1.153
6.545,1.152
6.553,1.151
6.562,1.149
6.570,1.148
6.579,1.147
6.588,1.146
6.596,1.145
6.605,1.144
6.614,1.142
6.623,1.141
6.631,1.140
6.640,1.139
6.649,1.137
6.658,1.136
6.667,1.135
6.676,1.134
6.684,1.132
6.693,1.131
6.702,1.130
6.711,1.128
6.720,1.127
6.729,1.125
6.739,1.124
6.748,1.123
6.757,1.121
6.766,1.120
6.775,1.118
6.784,1.117
6.793,1.115
6.803,1.114
6.812,1.112
6.821,1.111
6.831,1.109
6.840,1.108
6.849,1.106
6.859,1.105
6.868,1.103
6.878,1.101
6.887,1.100
6.897,1.098
6.906,1.096
6.916,1.095
6.925,1.093
6.935,1.091
6.944,1.089
6.954,1.088
6.964,1.086
6.974,1.084
6.983,1.082
6.993,1.080
7.003,1.078
7.013,1.076
7.022,1.074
7.032,1.072
7.042,1.070
7.052,1.068
7.062,1.066
7.072,1.064
7.082,1.062
7.092,1.060
7.102,1.058
7.112,1.056
7.123,1.053
7.133,1.051
7.143,1.049
7.153,1.046
7.163,1.044
7.174,1.042
7.184,1.039
7.194,1.037
7.205,1.034
7.215,1.032
7.225,1.029
7.236,1.026
7.246,1.024
7.257,1.021
7.267,1.018
7.278,1.015
7.289,1.012
7.299,1.009
7.310,1.007
7.321,1.004
7.331,1.000
7.342,0.997
7.353,0.994
7.364,0.991
7.375,0.988
7.386,0.984
7.396,0.981
7.407,0.977
7.418,0.974
7.429,0.970
7.440,0.966
7.452,0.962
7.463,0.959
7.474,0.955
7.485,0.951
7.496,0.946
7.508,0.942
7.519,0.938
7.530,0.933
7.541,0.929
7.553,0.924
7.564,0.919
7.576,0.914
7.587,0.909
7.599,0.904
7.610,0.899
7.622,0.893
7.634,0.888
7.645,0.882
7.657,0.876
7.669,0.870
7.680,0.863
7.692,0.857
7.704,0.850
7.716,0.843
7.728,0.836
7.740,0.829
7.752,0.821
7.764,0.813
7.776,0.805
7.788,0.797
7.800,0.788
7.812,0.779
7.825,0.770
7.837,0.761
7.849,0.751
7.862,0.741
7.874,0.731
7.886,0.720
7.899,0.710
7.911,0.698
7.924,0.687
7.937,0.675
7.949,0.664
7.962,0.652
7.974,0.640
7.987,0.627
8.000,0.615
8.013,0.603
8.026,0.591
8.039,0.579
8.052,0.567
8.065,0.556
8.078,0.546
8.091,0.536
8.104,0.527
8.117,0.519
8.130,0.511
8.143,0.505
8.157,0.500
8.170,0.496
8.183,0.493
8.197,0.491
8.210,0.489
8.224,0.489
8.237,0.489
8.251,0.490
8.264,0.491
8.278,0.493
8.292,0.495
8.306,0.497
8.319,0.500
8.333,0.502
8.347,0.505
8.361,0.507
8.375,0.509
8.389,0.511
8.403,0.512
8.418,0.513
8.432,0.514
8.446,0.514
8.460,0.514
8.475,0.512
8.489,0.510
8.503,0.508
8.518,0.504
8.532,0.500
8.547,0.495
8.562,0.489
8.576,0.482
8.591,0.475
8.606,0.467
8.621,0.458
8.636,0.449
8.651,0.440
8.666,0.431
8.681,0.422
8.696,0.413
8.711,0.405
8.726,0.398
8.741,0.392
8.757,0.387
8.772,0.383
8.787,0.382
8.803,0.382
8.818,0.384
8.834,0.388
8.850,0.394
8.865,0.403
8.881,0.413
8.897,0.426
8.913,0.442
8.929,0.460
8.945,0.480
8.961,0.503
8.977,0.528
8.993,0.555
9.009,0.585
9.025,0.618
9.042,0.652
9.058,0.689
9.074,0.729
9.091,0.770
9.107,0.814
9.124,0.860
9.141,0.907
9.158,0.957
9.174,1.008
9.191,1.061
9.208,1.115
9.225,1.171
9.242,1.227
9.259,1.285
9.276,1.344
9.294,1.403
9.311,1.462
9.328,1.522
9.346,1.582
9.363,1.642
9.381,1.702
9.398,1.761
9.416,1.819
9.434,1.877
9.452,1.933
9.470,1.988
9.488,2.042
9.506,2.094
9.524,2.144
9.542,2.192
9.560,2.238
9.579,2.282
9.597,2.324
9.615,2.363
9.634,2.399
9.653,2.433
9.671,2.464
9.690,2.492
9.709,2.518
9.728,2.540
9.747,2.560
9.766,2.577
9.785,2.591
9.804,2.602
9.823,2.610
9.843,2.616
9.862,2.619
9.881,2.620
9.901,2.618
9.921,2.614
9.940,2.607
9.960,2.599
9.980,2.588
10.000,2.576
10.020,2.562
10.040,2.546
10.060,2.529
10.081,2.511
10.101,2.492
10.121,2.471
10.142,2.450
10.163,2.428
10.183,2.406
10.204,2.383
10.225,2.360
10.246,2.336
10.267,2.313
10.288,2.289
10.309,2.266
10.331,2.243
10.352,2.220
10.373,2.198
10.395,2.175
10.417,2.154
10.438,2.132
10.460,2.112
10.482,2.092
10.504,2.072
10.526,2.053
10.549,2.035
10.571,2.017
10.593,2.000
10.616,1.983
10.638,1.967
10.661,1.951
10.684,1.936
10.707,1.922
10.730,1.908
10.753,1.894
10.776,1.881
10.799,1.868
10.823,1.856
10.846,1.844
10.870,1.833
10.893,1.821
10.917,1.810
10.941,1.800
10.965,1.789
10.989,1.779
11.013,1.769
11.038,1.759
11.062,1.749
11.086,1.739
11.111,1.730
11.136,1.720
11.161,1.711
11.186,1.701
11.211,1.692
11.236,1.682
11.261,1.673
11.287,1.663
11.312,1.654
11.338,1.645
11.364,1.635
11.390,1.626
11.416,1.616
11.442,1.607
11.468,1.598
11.494,1.588
11.521,1.579
11.547,1.570
11.574,1.562
11.601,1.554
11.628,1.546
11.655,1.539
11.682,1.532
11.710,1.526
11.737,1.521
11.765,1.517
11.792,1.513
11.820,1.511
11.848,1.510
11.876,1.510
11.905,1.511
11.933,1.514
11.962,1.517
11.990,1.522
12.019,1.528
12.048,1.535
12.077,1.543
12.107,1.552
12.136,1.561
12.165,1.571
12.195,1.582
12.225,1.593
12.255,1.604
12.285,1.614
12.315,1.625
12.346,1.636
12.376,1.646
12.407,1.656
12.438,1.665
12.469,1.673
12.500,1.681
12.531,1.687
12.563,1.693
12.594,1.698
12.626,1.702
12.658,1.706
12.690,1.708
12.723,1.709
12.755,1.710
12.788,1.709
12.821,1.708
12.853,1.706
12.887,1.703
12.920,1.700
12.953,1.696
12.987,1.691
13.021,1.686
13.055,1.681
13.089,1.675
13.123,1.669
13.158,1.663
13.193,1.657
13.228,1.650
13.263,1.644
13.298,1.637
13.333,1.631
13.369,1.625
13.405,1.618
13.441,1.612
13.477,1.606
13.514,1.600
13.550,1.595
13.587,1.589
13.624,1.584
13.661,1.579
13.699,1.574
13.736,1.569
13.774,1.564
13.812,1.559
13.850,1.555
13.889,1.551
13.928,1.546
13.966,1.542
14.006,1.538
14.045,1.534
14.085,1.531
14.124,1.527
14.164,1.523
14.205,1.520
14.245,1.516
14.286,1.513
14.327,1.510
14.368,1.506
14.409,1.503
14.451,1.500
14.493,1.497
14.535,1.493
14.577,1.490
14.620,1.487
14.663,1.484
14.706,1.481
14.749,1.478
14.793,1.475
14.837,1.472
14.881,1.469
14.925,1.466
14.970,1.463
15.015,1.460
15.060,1.457
15.106,1.454
15.152,1.451
15.198,1.449
15.244,1.446
15.291,1.443
15.337,1.440
15.385,1.437
15.432,1.434
15.480,1.431
15.528,1.428
15.576,1.425
15.625,1.422
15.674,1.419
15.723,1.416
15.773,1.413
15.823,1.410
15.873,1.407
15.924,1.404
15.974,1.400
16.026,1.397
16.077,1.394
16.129,1.391
16.181,1.388
16.234,1.384
16.287,1.381
16.340,1.378
16.393,1.374
16.447,1.371
16.502,1.367
16.556,1.364
16.611,1.360
16.667,1.356
16.722,1.352
16.779,1.349
16.835,1.345
16.892,1.341
16.949,1.337
17.007,1.333
17.065,1.328
17.123,1.324
17.182,1.320
17.241,1.315
17.301,1.310
17.361,1.306
17.422,1.301
17.483,1.296
17.544,1.291
17.606,1.285
17.668,1.280
17.730,1.274
17.794,1.268
17.857,1.262
17.921,1.256
17.986,1.250
18.051,1.243
18.116,1.236
18.182,1.229
18.248,1.221
18.315,1.213
18.382,1.205
18.450,1.196
18.519,1.187
18.587,1.178
18.657,1.168
18.727,1.157
18.797,1.146
18.868,1.134
18.939,1.122
19.011,1.108
19.084,1.094
19.157,1.078
19.231,1.062
19.305,1.044
19.380,1.025
19.455,1.004
19.531,0.981
19.608,0.957
19.685,0.931
19.763,0.903
19.841,0.873
19.920,0.842
20.000,0.811
20.080,0.780
20.161,0.751
20.243,0.726
20.325,0.706
20.408,0.693
20.492,0.688
20.576,0.691
20.661,0.702
20.747,0.721
20.833,0.748
20.921,0.781
21.008,0.821
21.097,0.868
21.186,0.920
21.277,0.977
21.368,1.040
21.459,1.107
21.552,1.178
21.645,1.252
21.739,1.329
21.834,1.407
21.930,1.487
22.026,1.567
22.124,1.648
22.222,1.727
22.321,1.804
22.422,1.879
22.523,1.951
22.624,2.019
22.727,2.083
22.831,2.142
22.936,2.195
23.041,2.243
23.148,2.284
23.256,2.320
23.364,2.349
23.474,2.372
23.585,2.388
23.697,2.399
23.810,2.403
23.923,2.403
24.038,2.397
24.155,2.387
24.272,2.372
24.390,2.354
24.510,2.333
24.631,2.310
24.752,2.285
24.876,2.258
25.000,2.230
