wl,n
1.2653,0.212
1.2917,0.220
1.3191,0.229
1.3478,0.239
1.4419,0.272
1.4762,0.285
1.5122,0.298
1.5398,0.309
1.5500,0.313
1.5773,0.324
1.5897,0.329
1.6166,0.340
1.6316,0.346
1.6580,0.357
1.6757,0.365
1.7015,0.376
1.7222,0.385
1.7474,0.396
1.7714,0.406
1.7958,0.417
1.8235,0.430
1.8469,0.441
1.8788,0.456
1.9011,0.467
1.9375,0.485
1.9585,0.495
2.0000,0.516
2.0195,0.526
2.0845,0.560
2.1537,0.597
2.2277,0.638
2.3070,0.684
2.3921,0.734
2.4838,0.791
2.5827,0.854
2.6899,0.926
2.8064,1.007
2.9333,1.099
3.0724,1.204
3.2252,1.325
3.3941,1.465
3.5816,1.629
3.7911,1.823
4.0265,2.052
4.2932,2.328
4.5977,2.663
4.9486,3.076
5.3576,3.592
5.8403,4.249
6.4185,5.102
7.1239,6.236
8.0033,7.787
9.1305,9.984
10.627,13.228
12.711,18.272
15.811,26.644
20.912,41.734
